user_id,user_first_touch_timestamp,email
UA000000107338110,1593874163848994,blackburnjohn@gay.biz
UA000000107354520,1593876102569545,reedjennifer@freeman.com
UA000000107359655,1593876696866893,roberthubbard55@hotmail.com
UA000000107362264,1593876996344195,amandafrazier@hotmail.com
UA000000107362440,1593877015690335,laura65@garcia.biz
UA000000107363722,1593877154338249,tmiller67@yahoo.com
UA000000107367850,1593877599590013,xmartinez27@gmail.com
UA000000107370290,1593877869468334,uflynn@anderson.com
UA000000107371743,1593878036347579,nancyellis34@hotmail.com
UA000000107371836,1593878046932741,nporter32@gmail.com
UA000000107372842,1593878162052188,johnsontiffany9@yahoo.com
UA000000107373248,1593878202325470,kyletaylor@hotmail.com
UA000000107374597,1593878346590531,nalvarado76@gmail.com
UA000000107377002,1593878617459649,bergergabriel@taylor.com
UA000000107377542,1593878679086870,jonathandyer@hotmail.com
UA000000107377602,1593878686736308,janetallen@moore-acosta.com
UA000000107378066,1593878738403010,peterhodges@yahoo.com
UA000000107380134,1593878971294004,ydavis47@hotmail.com
UA000000107381302,1593879092723494,iguzman95@yahoo.com
UA000000107381817,1593879150228743,ellislisa@thompson-chandler.org
UA000000107381951,1593879164209130,eavila@baker-smith.com
UA000000107383420,1593879323432432,null
UA000000107383437,1593879324795270,null
UA000000107383471,1593879328837515,null
UA000000107383569,1593879340349155,null
UA000000107383640,1593879349302857,null
UA000000107383684,1593879354256821,null
UA000000107384160,1593879407637240,null
UA000000107384395,1593879432186825,null
UA000000107384470,1593879442144804,null
UA000000107384520,1593879447137299,williamherrera@dudley-torres.org
UA000000107384520,1593879447137299,null
UA000000107384572,1593879452200834,null
UA000000107384587,1593879453527638,null
UA000000107384593,1593879454385538,null
UA000000107384617,1593879457430567,null
UA000000107384764,1593879471049369,null
UA000000107384966,1593879490480251,null
UA000000107385035,1593879496927585,brett84@nguyen.com
UA000000107385035,1593879496927585,null
UA000000107385074,1593879501203857,null
UA000000107385075,1593879501480126,null
UA000000107385167,1593879513224485,null
UA000000107385277,1593879524935108,null
UA000000107385360,1593879534473516,null
UA000000107385374,1593879536359533,null
UA000000107385379,1593879536983818,null
UA000000107385467,1593879545852333,null
UA000000107385498,1593879549164860,null
UA000000107385525,1593879552381184,null
UA000000107385538,1593879554165566,null
UA000000107385552,1593879555120037,null
UA000000107385735,1593879573979670,epatrick@bennett.com
UA000000107385735,1593879573979670,null
UA000000107385736,1593879574086394,null
UA000000107385886,1593879587774706,null
UA000000107385891,1593879588084363,lallen@brown.biz
UA000000107385891,1593879588084363,null
UA000000107385910,1593879591306851,null
UA000000107386007,1593879601570208,null
UA000000107386246,1593879627940083,null
UA000000107386381,1593879642433693,null
UA000000107386398,1593879645701612,null
UA000000107386487,1593879654878580,null
UA000000107386571,1593879663527423,null
UA000000107386616,1593879668206653,null
UA000000107386620,1593879668454372,michaelwilliamson@johnson-brown.com
UA000000107386620,1593879668454372,null
UA000000107386750,1593879685678647,null
UA000000107386821,1593879695266575,null
UA000000107386838,1593879696869252,null
UA000000107387009,1593879715090144,null
UA000000107387080,1593879722638657,null
UA000000107387088,1593879723131424,null
UA000000107387301,1593879746782722,null
UA000000107387492,1593879768700344,null
UA000000107387497,1593879769327406,null
UA000000107387499,1593879769663277,null
UA000000107387538,1593879773689641,null
UA000000107387543,1593879774240269,null
UA000000107387565,1593879777625576,null
UA000000107387598,1593879782015219,null
UA000000107387671,1593879790089249,null
UA000000107387703,1593879792795228,null
UA000000107387724,1593879795206017,null
UA000000107387734,1593879796291682,null
UA000000107387751,1593879798315168,null
UA000000107387780,1593879801192563,null
UA000000107387792,1593879803180012,null
UA000000107387840,1593879807489992,null
UA000000107387871,1593879811686726,null
UA000000107387989,1593879823233655,null
UA000000107388221,1593879847713441,derrickmichael@hotmail.com
UA000000107388221,1593879847713441,null
UA000000107388271,1593879852666573,null
UA000000107388507,1593879876875165,null
UA000000107388510,1593879877687359,null
UA000000107388602,1593879887602867,sylvia81@ellis.com
UA000000107388602,1593879887602867,null
UA000000107388624,1593879889679668,null
UA000000107388744,1593879904716946,null
UA000000107388777,1593879908456273,null
UA000000107388949,1593879927662729,dawnanderson@bush.com
UA000000107388949,1593879927662729,null
UA000000107388952,1593879927821763,null
UA000000107388957,1593879928308206,null
UA000000107389020,1593879933665966,null
UA000000107389051,1593879936634741,null
UA000000107389053,1593879936686872,robert34@gibson-collins.biz
UA000000107389053,1593879936686872,null
UA000000107389162,1593879949515360,null
UA000000107389284,1593879965734466,null
UA000000107389307,1593879968113018,null
UA000000107389309,1593879968162227,null
UA000000107389315,1593879968985617,null
UA000000107389329,1593879970624161,null
UA000000107389332,1593879971024749,null
UA000000107389629,1593880004128513,null
UA000000107389733,1593880016891125,null
UA000000107389773,1593880020722913,null
UA000000107389778,1593880021292124,null
UA000000107389877,1593880032325101,null
UA000000107389899,1593880034659762,null
UA000000107389940,1593880040559030,null
UA000000107390009,1593880046445235,null
UA000000107390200,1593880063306222,null
UA000000107390211,1593880064425772,null
UA000000107390220,1593880064916609,null
UA000000107390259,1593880068494633,null
UA000000107390289,1593880072629778,null
UA000000107390386,1593880081301259,null
UA000000107390544,1593880096681799,null
UA000000107390723,1593880114490046,null
UA000000107390788,1593880121354219,null
UA000000107390859,1593880129935464,null
UA000000107390971,1593880141436897,null
UA000000107390982,1593880142682121,null
UA000000107390999,1593880144187084,null
UA000000107391052,1593880149543040,null
UA000000107391079,1593880153086799,null
UA000000107391088,1593880154273002,null
UA000000107391135,1593880158630188,null
UA000000107391149,1593880160039889,null
UA000000107391172,1593880162406686,null
UA000000107391209,1593880166722069,millerjonathan@hotmail.com
UA000000107391209,1593880166722069,null
UA000000107391368,1593880183600312,christopher0850@gmail.com
UA000000107391368,1593880183600312,null
UA000000107391442,1593880189847959,null
UA000000107391553,1593880201744891,null
UA000000107391573,1593880204280238,null
UA000000107391597,1593880206481325,null
UA000000107391685,1593880214311235,null
UA000000107391697,1593880215253604,null
UA000000107391736,1593880218714655,null
UA000000107391768,1593880222699682,null
UA000000107391995,1593880246854668,null
UA000000107392032,1593880251690096,null
UA000000107392195,1593880267633134,null
UA000000107392221,1593880271052973,null
UA000000107392307,1593880280737921,null
UA000000107392409,1593880294227231,null
UA000000107392574,1593880311459583,null
UA000000107392636,1593880317686088,null
UA000000107392705,1593880325965910,null
UA000000107392855,1593880342116334,nicholssandra@hotmail.com
UA000000107392855,1593880342116334,null
UA000000107392926,1593880349970004,null
UA000000107392958,1593880354144347,null
UA000000107392960,1593880354161562,null
UA000000107393148,1593880376558559,null
UA000000107393204,1593880381565343,null
UA000000107393208,1593880381843400,null
UA000000107393224,1593880383467059,null
UA000000107393336,1593880395160962,null
UA000000107393392,1593880400615586,null
UA000000107393406,1593880401805976,null
UA000000107393733,1593880435566487,null
UA000000107393857,1593880449855773,null
UA000000107393878,1593880452156698,null
UA000000107393899,1593880453915695,null
UA000000107393963,1593880458867070,null
UA000000107393989,1593880461587860,null
UA000000107394114,1593880474652887,null
UA000000107394135,1593880477041679,null
UA000000107394136,1593880477145661,null
UA000000107394247,1593880489041311,null
UA000000107394461,1593880511685871,null
UA000000107394499,1593880515499555,null
UA000000107395112,1593880578440398,null
UA000000107395126,1593880579547398,null
UA000000107395136,1593880580520931,null
UA000000107395144,1593880581929169,null
UA000000107395200,1593880586979135,null
UA000000107395263,1593880594670143,null
UA000000107395355,1593880604865045,null
UA000000107395398,1593880608666175,null
UA000000107395489,1593880616363655,null
UA000000107395514,1593880619816280,null
UA000000107395526,1593880621093042,null
UA000000107395532,1593880622839579,null
UA000000107395750,1593880643369479,null
UA000000107395852,1593880653531162,null
UA000000107395854,1593880653542034,null
UA000000107396078,1593880675340904,null
UA000000107396111,1593880678252189,null
UA000000107396169,1593880683896800,null
UA000000107396225,1593880689503261,null
UA000000107396400,1593880706912598,null
UA000000107396431,1593880710037918,null
UA000000107396470,1593880713939491,null
UA000000107396518,1593880719025058,null
UA000000107396522,1593880719444085,null
UA000000107396590,1593880726297155,null
UA000000107396659,1593880733599283,jordancain@yahoo.com
UA000000107396659,1593880733599283,null
UA000000107396804,1593880748890651,null
UA000000107396937,1593880762378384,null
UA000000107396952,1593880764478281,null
UA000000107397033,1593880772357208,null
UA000000107397037,1593880772654848,null
UA000000107397284,1593880801668899,null
UA000000107397299,1593880802963656,null
UA000000107397643,1593880838082657,null
UA000000107397728,1593880847285477,null
UA000000107397879,1593880863170380,null
UA000000107397950,1593880872259777,null
UA000000107397958,1593880873214683,null
UA000000107398037,1593880882964262,null
UA000000107398145,1593880893591631,null
UA000000107398535,1593880937107661,jeffreycarr@smith.com
UA000000107398535,1593880937107661,null
UA000000107398550,1593880938897809,null
UA000000107398789,1593880966199086,null
UA000000107398797,1593880966624479,null
UA000000107398926,1593880979587126,null
UA000000107399074,1593880993502175,null
UA000000107399307,1593881017841122,null
UA000000107399425,1593881030377740,null
UA000000107399518,1593881039699907,null
UA000000107399545,1593881041387634,null
UA000000107399570,1593881044187324,null
UA000000107399610,1593881047976486,null
UA000000107399632,1593881050064083,null
UA000000107400035,1593881095770512,null
UA000000107362433,1593877014978109,santanawilliam@munoz.biz
UA000000107386250,1593879628637203,null
UA000000107390169,1593880060004394,null
UA000000107391757,1593880221273552,null
UA000000107393013,1593880360146671,null
UA000000107399077,1593880993817476,null
UA000000107355987,1593876269167805,robert03@cohen-kaiser.net
UA000000107356825,1593876365676183,sullivanjohn@dunn.com
UA000000107362835,1593877055181138,lucas59@murray-allison.com
UA000000107375364,1593878433660312,james60@lyons.biz
UA000000107377392,1593878661450140,richardsmith@lowe-fuller.com
UA000000107377819,1593878709712036,jennaberry@yahoo.com
UA000000107378680,1593878809043928,jjohnson85@gmail.com
UA000000107381244,1593879087177901,krystal33@nichols-gonzales.biz
UA000000107382007,1593879169908682,mflores35@gmail.com
UA000000107383039,1593879279163480,phillipsrobert@jenkins-caldwell.com
UA000000107383270,1593879305714912,null
UA000000107383310,1593879309938195,null
